Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,harmonicclosnesscentrality,betweenesscentrality
nm0000317,Clancy Brown,,1,1,0,1,1,0,1,0,0
nm1180243,Danny McCarthy,,1,1,0,1,1,0,1,0,0
nm0001104,Frank Darabont,,15,0,19,19,0,24,24,1,0
nm0180165,Michael Cornelison,,15,1,0,1,2,0,2,0,0
nm0189860,Dee Croxton,,15,1,0,1,2,0,2,0,0
nm0508742,Brian Libby,,15,1,0,1,2,0,2,0,0
nm0116602,Bob Brunson,,15,1,0,1,2,0,2,0,0
nm0348409,Bob Gunton,,15,1,0,1,1,0,1,0,0
nm0006669,William Sadler,,15,2,0,2,2,0,2,0,0
nm0000120,Jim Carrey,,15,2,0,2,2,0,2,0,0
nm0000837,Bob Balaban,,15,2,0,2,2,0,2,0,0
nm0218810,Jeffrey DeMunn,,15,1,0,1,1,0,1,0,0
nm0005048,Thomas Jane,,15,1,0,1,1,0,1,0,0
nm0390229,Laurie Holden,,15,1,0,1,2,0,2,0,0
nm0105672,Andre Braugher,,15,1,0,1,1,0,1,0,0
nm0511088,Andrew Lincoln,,15,1,0,1,1,0,1,0,0
nm1256532,Jon Bernthal,,15,1,0,1,1,0,1,0,0
nm0915637,Sarah Wayne Callies,,15,1,0,1,1,0,1,0,0
nm0000709,Robert Zemeckis,,16,0,76,76,0,86,86,1,0
nm0067649,Pete Belcher,,16,1,0,1,1,0,1,0,0
nm0659142,Roger Pancake,,16,1,0,1,1,0,1,0,0
nm1516913,Roger Vaughn,,16,1,0,1,1,0,1,0,0
nm0641315,Pat O'Hara,,16,1,0,1,1,0,1,0,0
nm0223738,Bobby Di Cicco,,16,1,0,1,1,0,1,0,0
nm0566013,Marc McClure,,16,1,0,1,1,0,1,0,0
nm0628281,Susan Kendall Newman,,16,1,0,1,1,0,1,0,0
nm0912001,Jack Warden,,16,1,0,1,1,0,1,0,0
nm0334057,Gerrit Graham,,16,1,0,1,1,0,1,0,0
nm0574433,Frank McRae,,16,1,0,1,1,0,1,0,0
nm0000140,Michael Douglas,,16,1,0,1,1,0,1,0,0
nm0635649,Zack Norman,,16,1,0,1,1,0,1,0,0
nm0000150,Michael J. Fox,,16,1,0,1,2,0,2,0,0
nm0000670,Lea Thompson,,16,1,0,1,2,0,2,0,0
nm0000417,Crispin Glover,,16,1,0,1,2,0,2,0,0
nm0001026,Joanna Cassidy,,16,1,0,1,1,0,1,0,0
nm0281486,Charles Fleischer,,16,1,0,1,1,0,1,0,0
nm0001855,Thomas F. Wilson,,16,1,0,1,1,0,1,0,0
nm0000618,Isabella Rossellini,,16,2,0,2,2,0,2,0,0
nm0000705,Robin Wright,,16,2,0,2,3,0,3,0,0
nm0000641,Gary Sinise,,16,1,0,1,1,0,1,0,0
nm0870007,Katharine Towne,,16,1,0,1,1,0,1,0,0
nm0000166,Helen Hunt,,16,1,0,1,1,0,1,0,0
nm0584052,Paul Sanchez,,16,1,0,1,1,0,1,0,0
nm0925096,Lari White,,16,1,0,1,1,0,1,0,0
nm0001556,David Morse,,16,1,0,1,1,0,1,0,0
nm0321358,Neil Giuntoli,,16,1,0,1,1,0,1,0,0
nm0177260,Roderick Cook,,16,1,0,1,1,0,1,0,0
nm0178875,Chris Coppola,,16,1,0,1,1,0,1,0,0
nm0005052,Michael Jeter,,16,1,0,1,1,0,1,0,0
nm0366667,Leslie Zemeckis,,16,1,0,1,1,0,1,0,0
nm0935653,Ray Winstone,,16,1,0,1,1,0,1,0,0
nm0818055,Octavia Spencer,,16,1,0,1,1,0,1,0,0
nm0001674,Chris Rock,,16,1,0,1,1,0,1,0,0
nm0884313,Steve Valentine,,16,1,0,1,1,0,1,0,0
nm1229204,Nadine Velazquez,,16,1,0,1,1,0,1,0,0
nm0000332,Don Cheadle,,16,1,0,1,1,0,1,0,0
nm1571804,Falk Hentschel,,16,1,0,1,1,0,1,0,0
nm0641610,Matt O'Leary,,16,1,0,1,1,0,1,0,0
nm5775621,Nikolai Witschl,,16,1,0,1,1,0,1,0,0
nm3114649,Charlotte Le Bon,,16,1,0,1,1,0,1,0,0
nm2968773,Guillaume Baillargeon,,16,1,0,1,1,0,1,0,0
nm4487667,Émilie Leclerc,,16,1,0,1,1,0,1,0,0
nm0182839,Marion Cotillard,,16,2,0,2,2,0,2,0,0
nm1081121,Vincent Ebrahim,,16,1,0,1,1,0,1,0,0
nm1086483,Salli Saffioti,,16,1,0,1,1,0,1,0,0
nm0425005,Dwayne Johnson,,16,1,0,1,1,0,1,0,0
nm0796117,M. Night Shyamalan,,17,0,37,37,0,44,44,1,0
nm0001057,Toni Collette,,17,1,0,1,1,0,1,0,0
nm0931404,Olivia Williams,,17,1,0,1,1,0,1,0,0
nm0004829,Spencer Treat Clark,,17,1,0,1,1,0,1,0,0
nm0000154,Mel Gibson,,17,1,0,1,1,0,1,0,0
nm0191412,Rory Culkin,,17,1,0,1,1,0,1,0,0
nm1113550,Abigail Breslin,,17,1,0,1,1,0,1,0,0
nm0000458,William Hurt,,17,1,0,1,1,0,1,0,0
nm0316079,Paul Giamatti,,17,1,0,1,1,0,1,0,0
nm0942482,Jeffrey Wright,,17,1,0,1,1,0,1,0,0
nm3226241,Noah Ringer,,17,1,0,1,1,0,1,0,0
nm2443758,Nicola Peltz,,17,1,0,1,1,0,1,0,0
nm1717152,Jackson Rathbone,,17,1,0,1,1,0,1,0,0
nm0221046,Zooey Deschanel,,17,1,0,1,1,0,1,0,0
nm0000491,John Leguizamo,,17,1,0,1,1,0,1,0,0
nm1496319,Ashlyn Sanchez,,17,1,0,1,1,0,1,0,0
nm1535523,Jaden Smith,,17,1,0,1,1,0,1,0,0
nm0219292,David Denman,,17,1,0,1,1,0,1,0,0
nm0645683,Sophie Okonedo,,17,1,0,1,1,0,1,0,0
nm4609822,Olivia DeJonge,,17,1,0,1,1,0,1,0,0
nm4590837,Ed Oxenbould,,17,1,0,1,1,0,1,0,0
nm0241759,Deanna Dunagan,,17,1,0,1,1,0,1,0,0
nm0574513,Peter McRobbie,,17,1,0,1,1,0,1,0,0
nm5896355,Anya Taylor-Joy,,17,1,0,1,2,0,2,0,0
nm4726634,Haley Lu Richardson,,17,1,0,1,1,0,1,0,0
nm4088627,Jessica Sula,,17,1,0,1,1,0,1,0,0
nm0000186,David Lynch,,18,0,70,70,0,84,84,1,0
nm0528424,Peggy Lynch,,18,1,0,1,2,0,2,0,0
nm0569355,Dorothy McGinnis,,18,1,0,1,1,0,1,0,0
nm0925370,Richard White,,18,1,0,1,1,0,1,0,0
nm0537973,Virginia Maitland,,18,1,0,1,1,0,1,0,0
nm0149505,Robert Chadwick,,18,1,0,1,1,0,1,0,0
nm0620756,Jack Nance,,18,1,0,1,1,0,1,0,0
